hashtag,PR
zs73,0.0009266454030461795
ricerca,0.0009094618680660362
toscana,0.0009002186094655536
emiliaromagna,0.0009002186094655536
roma,0.0008993476958755335
comunicazione,0.0008980833416103672
coronarvirusitalia,0.0008964986516194562
tv,0.0008915042102590376
monarch,0.0008895886488539285
formazione,0.0008842776553816842
android10,0.0008763756054689809
consumatori,0.000875702984874811
petrolio,0.0008727157831188723
matera,0.0008727157831188721
cancro,0.0008727157831188721
fwa,0.0008684865485608821
sicilia,0.0008637341183962226
machinelearning,0.0008622787313986655
dell,0.0008600101248754341
comunicazioni,0.0008585625939765186
telecom,0.0008508361621067044
mobili,0.000850255084686123
ia,0.0008417567431949282
datacenter,0.0008368157306919065
crisi,0.0008356621409315166
tecnologica,0.0008356621409315166
sociale,0.0008356621409315166
robotica,0.0008342906234635829
nwo,0.0008323985462379213
coscienza,0.0008222360460658299
breakingnews,0.0008165682862129003
topquality,0.0008165682862129003
windtrenonsiferma,0.0008165682862129003
social,0.0008155414195445677
friuli,0.0008080899817076426
scienza,0.0008050060424423863
domani,0.0007983348012891321
francesi,0.0007983348012891321
tedeschi,0.0007983348012891321
covid,0.0007925758739225659
dazi,0.0007825741534110541
gaming,0.0007799966426881288
networking,0.000770816711692907
automotive,0.0007600237983030165
ftth,0.0007548069399682137
edge,0.0007511701376587926
lombardia,0.0007492278999470843
digitalizzazione,0.0007447350508733552
innovation,0.0007424588199135022
digitaldivide,0.0007392326553219419
cloudpa,0.0007363657310232769
rai,0.000730387774975684
vaccine,0.0007301343011356513
abruzzo,0.0007290687330234126
calabria,0.0007290687330234126
campania,0.0007290687330234126
lazio,0.0007290687330234126
liguria,0.0007290687330234126
lombardía,0.0007290687330234126
marche,0.0007290687330234126
molise,0.0007290687330234126
piemonte,0.0007290687330234125
sardegna,0.0007290687330234125
trentino,0.0007290687330234125
phone,0.0007230085887841349
health,0.0007206292606371774
politica,0.0007184437385006722
dimaio,0.0007139779691766288
srm,0.0007120416642484317
aict,0.0007101581130831222
andratuttobene,0.0007075112401591498
2marzo,0.0006997426476853188
cinesi,0.000698558192420193
universitim,0.0006966684842043347
private,0.000696331100624613
armonizzare,0.000696331100624613
vite,0.0006864724569788361
5gbringnewvalue,0.000686141004739697
alberi,0.0006830783288450101
virtualreality,0.0006794436124862029
googlecloud,0.0006790333330617289
news,0.0006775374728908121
livorno,0.0006696432736816404
autopilot,0.000668026807901028
cosmote,0.0006655552672819643
complottismo,0.0006646371501506965
fondi,0.0006606967768284002
sperimentazioni,0.0006606967768284002
industria40,0.0006584089146583364
consapevolezza,0.0006572365209522169
università,0.000656988277880093
giovani,0.000656988277880093
realme,0.0006555809199545168
26marzo,0.0006551875478049115
17febbraio,0.000647281727963527
digiteconomy24,0.0006461037123405527
voip,0.0006460673327348498
martiallaw,0.0006457256722365843
it,0.0006438824969749807
socialmedia,0.0006434640377652125
mi10lite,0.0006417569366605942
ecosistema,0.0006384630360712492
esperienza,0.0006374474340108786
frosinone,0.0006363665864665973
tg24,0.0006363665864665972
