hashtag,deg_cov,deg_5g,PR_cov,PR_5g
verizon,19,5,0.00531374336281061,0.00028543463085137997
covid19italy,7,7,0.002084349386105501,0.00027790184377510333
coronarovirus,6,6,0.0018567445518537997,0.0002745602551115653
wuhancoronavirus,6,6,0.0018567445518537997,0.0002745602551115653
censorship,6,6,0.0018567445518537997,0.0002745602551115653
blackswan,6,6,0.0018567445518537997,0.0002745602551115653
amazon,9,9,0.0020126607161201214,0.0002704878988265601
deeplearning,9,9,0.0020126607161201214,0.0002704878988265601
checkout,9,9,0.0020126607161201223,0.0002704878988265601
sensorfusion,9,9,0.0020126607161201214,0.0002704878988265601
computervision,9,9,0.0020126607161201214,0.0002704878988265601
whatmediadontsay,3,3,0.0014667116572065241,0.0002654354744206464
newworldweb2020,3,3,0.0014667116572065241,0.0002654354744206464
independencedaynet,3,3,0.0014667116572065241,0.0002654354744206464
chigi,5,5,0.0018112726061370516,0.0002606190316918044
moratoria,5,5,0.0018112726061370518,0.0002606190316918044
gunter,5,5,0.0018112726061370516,0.00026061903169180437
barcellona,5,5,0.0019163637379636625,0.00025877157987689306
sadefenza,3,3,0.0014667116572065271,0.00025833332517268996
g5,3,3,0.0014667116572065271,0.00025833332517268996
fabbriche,10,10,0.0024538566403557115,0.0002518965905728266
ospedali,10,10,0.0024538566403557115,0.0002518965905728266
telematica,10,10,0.0024538566403557115,0.0002518965905728266
realtime,2,2,0.002064031369544788,0.0002483872561145677
byoblu,4,5,0.0013096352139634726,0.0002448137591034051
russia,9,3,0.0020026959436372067,0.00023916501253490072
didatticaadistanza,6,8,0.0016736923307274333,0.00023481423189629822
assange,5,5,0.0016165448958075208,0.00022949353291275832
paesipoveri,5,5,0.0016165448958075208,0.00022949353291275832
rifiuti,5,5,0.0016165448958075208,0.00022949353291275832
matrix,4,4,0.0015050422652810717,0.00022585620486856883
coronavirusita,4,4,0.0015050422652810717,0.00022585620486856883
miwuhan,4,4,0.0015050422652810717,0.00022585620486856883
murdrers,4,4,0.0016522419566988996,0.00022432804209676538
falsainformazione,4,4,0.0016522419566988996,0.00022432804209676538
diagnosi,4,4,0.0017533104867756193,0.00022080272228435993
remoto,4,4,0.0017533104867756193,0.00022080272228435993
chinatelecom,4,4,0.0017533104867756193,0.00022080272228435993
ministerodellasalute,4,4,0.0015708626189898391,0.00021175334171701164
burioni,4,5,0.0013096352139634726,0.00020314787357016958
oms,3,3,0.0014485332091424108,0.00020250165649190316
madeinchina,2,2,0.001105347915575933,0.0002018976914060949
defendereurope20,2,2,0.001105347915575933,0.0002018976914060949
agi,2,2,0.0011053479155759326,0.00020189769140609469
idiotiallosbando,2,2,0.0011053479155759326,0.00020189769140609469
fottenasega,2,2,0.0011053479155759317,0.00020189769140609441
positivo,2,2,0.0011053479155759317,0.00020189769140609441
22marzo,6,7,0.0017510249415242508,0.00019618611640538148
covidiot,6,7,0.0017510249415242506,0.00019618611640538148
iran,9,5,0.0020026959436372067,0.0001954028837137564
facebook,4,4,0.0012466718192658205,0.0001918325771467529
montanari,4,4,0.0013096352139634726,0.00018923998613933621
eu,3,5,0.0009303113650126045,0.00017993055906553076
coviditaly,2,5,0.000865399302536616,0.00017989143683068307
bigtech,2,2,0.0009738354041234005,0.0001789796977883671
resistenzaitaliana2020,4,4,0.001422426023079567,0.00017573994035696084
stayathome,2,2,0.0013263922202454573,0.00016615103634566158
shanghai,1,5,0.0006355750514561616,0.00016271989152658625
zonarossa,4,4,0.0011524781717218264,0.00016093739256207212
ashtar,1,1,0.0008897760018261138,0.00015677754054160576
sbronzitutti,1,1,0.0010168764770110896,0.00015677754054160576
byoblu24,1,2,0.0006355750514561616,0.00015463927325582406
29marzo,1,1,0.0007626755266411381,0.0001432154178805718
asiatica,2,2,0.001105347915575933,0.000136992016383958
granbretagna,2,2,0.0011053479155759334,0.00013321061430481037
immunodepressione,2,2,0.0009500391251018676,0.00013319703822443685
studio,2,2,0.0011053479155759324,0.00013314638585958192
usacina,2,2,0.000865399302536616,0.00013093645144231805
rainò,1,1,0.0006355750514561616,0.00012965329521953824
3gpp,1,1,0.0007626755266411381,0.00012965329521953824
elettrificazione,1,2,0.0006355750514561616,0.0001285841615766475
fakenewsmedia,1,1,0.0006355750514561616,0.00012658938892726293
tesicomplottiste,1,1,0.0006355750514561616,0.00011609117255850444
emergenza,1,1,0.0006355750514561613,0.00011609117255850444
mauriziomartucci,1,1,0.0006355750514561616,0.0001150220389156136
